Продукт,Калорийность,Углеводы,Белки,Жиры
"Говядина отборная, мякоть шейной части, постное мясо, обжаренная",171 кКал,0 г,"25,95 г","6,69 г"
"Говядина отборная, мякоть шейной части, стейк,  постное мясо, тушеная",178 кКал,0 г,"28,54 г","6,25 г"
"Говядина отборная, мякоть шейной части, стейк, мясо с жиром убранным до уровня 0"",тушеная",186 кКал,0 г,"28,22 г","7,25 г"
"Говядина отборная, огузок, мясо с жиром убранным до уровня 0"", обжаренная, мясо с жиром убранным до уровня 0"", обжаренная",196 кКал,0 г,"27,01 г","8,9 г"
"Говядина отборная, огузок, мясо с жиром убранным до уровня 0"", сырая",156 кКал,0 г,"20,16 г","7,73 г"
"Говядина отборная, огузок, мясо с жиром убранным до уровня 1/8"", обжаренная",228 кКал,0 г,"27,27 г","12,34 г"
"Говядина отборная, огузок, мясо с жиром убранным до уровня 1/8"", сырая",199 кКал,0 г,"19,48 г","12,83 г"
"Говядина отборная, огузок, постное мясо, обжаренная",176 кКал,0 г,"27,68 г","6,42 г"
"Говядина отборная, огузок, постное мясо, сырая",130 кКал,0 г,"20,76 г","4,55 г"
"Говядина отборная, оковалок,  мясо с жиром убранным до уровня 0"", жареная",219 кКал,0 г,"29,02 г","10,54 г"
"Говядина отборная, оковалок,  мясо с жиром убранным до уровня 1/8"", жареная",257 кКал,0 г,"26,8 г","15,75 г"
"Говядина отборная, оковалок,  мясо с жиром убранным до уровня 1/8"", печеная",313 кКал,0 г,"28,77 г","21,06 г"
"Говядина отборная, оковалок,  мясо с жиром убранным до уровня 1/8"", сырая",214 кКал,0 г,"19,92 г","14,28 г"
"Говядина отборная, оковалок, постное мясо, жареная",187 кКал,0 г,"29,51 г","6,72 г"
"Говядина отборная, оковалок, постное мясо, жареная",188 кКал,0 г,"30,29 г","6,55 г"
"Говядина отборная, оковалок, постное мясо, сырая",135 кКал,0 г,"21,91 г","4,62 г"
"Говядина отборная, плечевая мякоть, мясо с жиром убранным до уровня 1/8"" , сырая",249 кКал,0 г,"19,14 г","18,57 г"
"Говядина отборная, плечевая мякоть, мясо с жиром убранным до уровня 1/8"" , тушеная",309 кКал,0 г,"30,2 г","19,93 г"
"Говядина отборная, плечевая мякоть, постное мясо,тушеная",212 кКал,0 г,"33,36 г","7,67 г"
"Говядина отборная, плечевая мякоть, филе-миньон, мясо с жиром убранным до уровня 0"", обжаренная на гриле",181 кКал,0 г,"26,07 г","7,68 г"
"Говядина отборная, плечевая мякоть, филе-миньон, мясо с жиром убранным до уровня 0"", сырая",145 кКал,0 г,"20,51 г","6,36 г"
"Говядина отборная, плоская часть грудинки,  мясо с жиром убранным до уровня 1/8"", сырая",278 кКал,"0,12 г","18,12 г","22,15 г"
"Говядина отборная, плоская часть грудинки, мясо с жиром убранным до уровня 1/8"", тушеная",298 кКал,0 г,"28,66 г","19,47 г"
"Говядина отборная, плоская часть грудинки, посное мясо, сырая",129 кКал,0 г,"21,69 г","4,06 г"
"Говядина отборная, плоская часть грудинки, посное мясо, тушеная",203 кКал,0 г,"33,13 г","6,79 г"
"Говядина отборная, разделанная, нарезаная кусками, мясо постное, приготовленная",206 кКал,0 г,"29,51 г","8,87 г"
"Говядина отборная, разделанная, нарезаная кусками, мясо с жиром убранным до уровня 0"", приготовленная",233 кКал,0 г,"28,17 г","12,53 г"
"Говядина отборная, разделанная, нарезаная кусками, мясо с жиром убранным до уровня1/8"", приготовленная",268 кКал,0 г,"25,85 г","17,68 г"
"Говядина отборная, разделанная, нарезаная кусками, мясо с жиром убранным до уровня1/8"", сырая",224 кКал,0 г,"19,79 г","15,42 г"
"Говядина отборная, ребера, толстый край (ребра 6-9),  мясо с жиром убранным до уровня 0"", обжаренная",372 кКал,0 г,"22,8 г","30,49 г"
"Говядина отборная, ребера, толстый край (ребра 6-9),  постное мясо , обжаренная",253 кКал,0 г,"27,53 г",15 г
"Говядина отборная, ребера, тонкий край (ребра 10-12), мясо с жиром убранным до уровня 0"", жареная",312 кКал,0 г,"24,73 г","22,84 г"
"Говядина отборная, ребера, тонкий край (ребра 10-12), постное мясо, жареная",225 кКал,0 г,"28,04 г","11,7 г"
"Говядина отборная, ребра, толстый и тонкий края (ребра 6-12), мясо с жиром убранным до уровня1/8"", жареная",352 кКал,0 г,"22,26 г","28,5 г"
"Говядина отборная, ребра, толстый и тонкий края (ребра 6-12), мясо с жиром убранным до уровня1/8"", обжаренная",365 кКал,0 г,"22,6 г","29,79 г"
"Говядина отборная, ребра, толстый и тонкий края (ребра 6-12), мясо с жиром убранным до уровня1/8"", сырая",322 кКал,0 г,"16,34 г","27,93 г"
"Говядина отборная, ребра, толстый край (ребра 6-9), мясо с жиром убранным до уровня1/8"", жареная",370 кКал,0 г,"20,86 г","31,18 г"
"Говядина отборная, ребра, толстый край (ребра 6-9), мясо с жиром убранным до уровня1/8"", обжаренная",378 кКал,0 г,"22,5 г","31,28 г"
"Говядина отборная, ребра, толстый край (ребра 6-9), мясо с жиром убранным до уровня1/8"", сырая",333 кКал,0 г,"16,03 г","29,34 г"
"Говядина отборная, ребра, тонкий край (ребра 10-12), мясо с жиром убранным до уровня1/8"", жареная",304 кКал,0 г,"24,53 г","22,09 г"
"Говядина отборная, ребра, тонкий край (ребра 10-12), мясо с жиром убранным до уровня1/8"", обжаренная",359 кКал,0 г,"22,28 г","29,21 г"
"Говядина отборная, ребра, тонкий край (ребра 10-12), мясо с жиром убранным до уровня1/8"", сырая",263 кКал,0 г,"19,09 г","20,13 г"
"Говядина отборная, средняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", обжаренная на гриле",188 кКал,0 г,"26,88 г","8,13 г"
"Говядина отборная, средняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", сырая",150 кКал,0 г,"20,74 г","6,85 г"
"Говядина отборная, стейк из плечевой мякоти, постное мясо, жареная",161 кКал,0 г,"25,73 г","5,72 г"
