Продукт,Калорийность,Углеводы,Белки,Жиры
Хлеб Даниловский [Пятерочка],280 кКал,46 г,"9,5 г",6 г
Хлеб Домашний на Молоке [Пятерочка],239 кКал,50 г,8 г,1 г
Хлеб Древнерусский [Пятерочка],201 кКал,38 г,10 г,1 г
Хлеб Заварной [Пятерочка],248 кКал,"51,8 г","6,6 г",1 г
Хлеб Зерновой [Пятерочка],274 кКал,"44,4 г","9,2 г","6,6 г"
Хлеб Зерновой Зож [Пятерочка],210 кКал,39 г,"8,5 г",0 г
Хлеб Зерновой Мультизлаковый со Льном [Пятерочка],228 кКал,"48,9 г","6,2 г","2,3 г"
Хлеб Маисовый [Пятерочка],240 кКал,46 г,"7,5 г",2 г
Хлеб Отличный с Чесноком [Пятерочка],229 кКал,"58,8 г","8,3 г","3,3 г"
Хлеб Парижский [Пятерочка],300 кКал,55 г,10 г,4 г
Хлеб Питерский [Пятерочка],210 кКал,"42,6 г","7,4 г","1,2 г"
Хлеб Пури Грузинский [Пятерочка],220 кКал,"55,9 г","8,5 г","0,9 г"
Хлеб Рустик с Пророщенным Зерном [Пятерочка],210 кКал,33 г,"6,4 г","5,9 г"
Хлеб с Отрубями [Пятерочка],268 кКал,51 г,10 г,"2,7 г"
Хлеб с Семенами Подсолнечника [Пятерочка],269 кКал,"30,5 г","7,5 г",13 г
Хлеб Фермерский [Пятерочка],200 кКал,"32,6 г","6,7 г","5,2 г"
Хлебушек Чёрный Русский [Пятерочка],260 кКал,50 г,8 г,"2,5 г"
Холодец [Пятерочка],31 кКал,"0,2 г","6,3 г","0,5 г"
Хумус [Пятерочка],345 кКал,14 г,16 г,25 г
Хурма [Пятерочка],66 кКал,"15,3 г","0,5 г","0,3 г"
Цыпленок-Гриль [Пятерочка],237 кКал,0 г,27 г,"13,5 г"
Чебурек [Пятерочка],226 кКал,23 г,11 г,10 г
Черешня [Пятерочка],50 кКал,"11,5 г","1,1 г","0,4 г"
Чернослив [Пятерочка],277 кКал,67 г,"2,3 г","0,9 г"
Чернослив Фруктовый Батончик [Пятерочка],200 кКал,48 г,"2,5 г",1 г
Чеснок [Пятерочка],143 кКал,"29,9 г","6,5 г","0,5 г"
Чиабатта [Пятерочка],269 кКал,"50,8 г","9,4 г","2,6 г"
Чиабатта Классическая [Пятерочка],248 кКал,51 г,"7,6 г","1,2 г"
Чиабатта Солодовая [Пятерочка],255 кКал,"52,2 г","8,2 г","1,5 г"
Чипсы Московский Картофель [Пятерочка],570 кКал,46 г,"5,5 г",40 г
Шампиньоны [Пятерочка],27 кКал,"0,1 г","4,3 г",0 г
Штрудель Киви [Пятерочка],410 кКал,34 г,5 г,30 г
Элеш с Курицей [Пятерочка],226 кКал,"20,4 г","10,9 г","11,2 г"
Яблоко Голден [Пятерочка],53 кКал,"10,7 г","0,5 г","0,2 г"
Яблоко Красное [Пятерочка],47 кКал,"9,8 г","0,4 г","0,4 г"
Яблоко Роял Гала [Пятерочка],46 кКал,"11,2 г","0,4 г",0 г
Яблоко Сезонное [Пятерочка],47 кКал,"9,8 г","0,4 г","0,4 г"
Яйца [Пятерочка],157 кКал,"0,7 г","12,7 г","11,5 г"
Ячневая Анна [Пятерочка],63 кКал,"9,5 г","2,4 г","1,7 г"
