Продукт,Калорийность,Углеводы,Белки,Жиры
Гавайская Смесь [Ашан],90 кКал,17 г,"3,5 г",1 г
Галантин [Ашан],230 кКал,"1,5 г",15 г,"18,5 г"
Галеты из Брокколи [Ашан],60 кКал,10 г,"1,5 г","1,5 г"
Галеты из Риса с Кунжутом [Ашан],381 кКал,"77,5 г","8,4 г","3,4 г"
Галеты из Риса с Шоколадом [Ашан],509 кКал,"62,1 г","7,4 г","24,2 г"
Галеты Старт с Отрубями [Ашан],330 кКал,69 г,"11,5 г","1,5 г"
Галстук с Шоколадом [Ашан],290 кКал,"36,4 г","5,3 г","13,6 г"
Геркулес [Ашан],400 кКал,70 г,11 г,6 г
Гнезда из Твёрдых Сортов Пшеницы [Ашан],340 кКал,71 г,"10,5 г",1 г
Говядина [Ашан],170 кКал,0 г,16 г,12 г
Говядина Варёно-Копченая [Ашан],144 кКал,0 г,18 г,8 г
Говядина для Тушения «Фермерская» [Ашан],230 кКал,0 г,16 г,18 г
Говядина для Тушения [Ашан],131 кКал,0 г,17 г,7 г
Говядина Духовая «Фермерская» [Ашан],240 кКал,0 г,14 г,20 г
Говядина Духовая [Ашан],240 кКал,0 г,14 г,20 г
Говядина Имперская [Ашан],154 кКал,1 г,15 г,10 г
Говядина Категории А [Ашан],123 кКал,0 г,19 г,5 г
Говядина Копчено-Вареная [Ашан],96 кКал,1 г,14 г,4 г
Говядина Кусок Кд [Ашан],144 кКал,0 г,18 г,8 г
Говядина на Ребрышках [Ашан],189 кКал,0 г,18 г,13 г
Говядина Праздничная [Ашан],108 кКал,0 г,20 г,"3,5 г"
Говядина Тазобедренная [Ашан],107 кКал,0 г,20 г,3 г
Говядина Тазобедренная Часть [Ашан],123 кКал,0 г,19 г,5 г
Говяжий Жир [Ашан],897 кКал,0 г,0 г,"99,7 г"
Говяжий Фарш [Ашан],248 кКал,0 г,17 г,20 г
Говяжье Легкое [Ашан],92 кКал,0 г,"14,8 г","3,6 г"
Голень Куриная [Ашан],161 кКал,"0,1 г","16,3 г","10,7 г"
Голова Форели [Ашан],97 кКал,0 г,"19,2 г","2,1 г"
Голубцы Ленивые [Ашан],106 кКал,9 г,4 г,6 г
Голубцы Овощные [Ашан],77 кКал,"8,9 г","1,7 г","3,8 г"
Голубцы с Мясом и Рисом [Ашан],123 кКал,"6,2 г","6,8 г","7,8 г"
Голяшка Говяжья [Ашан],107 кКал,0 г,20 г,3 г
Голяшка Говяжья Б/К [Ашан],114 кКал,0 г,"19,3 г","4,1 г"
Голяшка Говяжья Бескостная Фермерская [Ашан],187 кКал,0 г,"18,9 г","12,4 г"
Голяшка Свиная [Ашан],167 кКал,0 г,17 г,11 г
Голяшка Телячья [Ашан],94 кКал,0 г,19 г,2 г
Горбуша [Ашан],174 кКал,0 г,21 г,10 г
Горбуша г/К [Ашан],177 кКал,0 г,24 г,9 г
Горбуша Х/К [Ашан],235 кКал,0 г,21 г,5 г
Горбуша Х/К Спинка [Ашан],235 кКал,0 г,21 г,15 г
Горох Варёный [Ашан],60 кКал,9 г,6 г,0 г
Горох Зеленый Колотый [Ашан],340 кКал,63 г,20 г,1 г
Горошек Зелёный [Ашан],35 кКал,6 г,3 г,0 г
Горошек Печеный с Овощами [Ашан],60 кКал,9 г,"2,5 г","1,5 г"
Горошница [Ашан],128 кКал,"16,2 г","7,6 г","3,2 г"
Горчица [Ашан],155 кКал,"2,3 г","7,2 г","11,8 г"
Горчица Дижонская Био [Ашан],165 кКал,"7,4 г","6,3 г","11,3 г"
