Продукт,Калорийность,Углеводы,Белки,Жиры
Кабачки жареные по 1-238,88 кКал,"7,5 г","1,1 г","5,9 г"
Кабачки запеченные по 1-258,140 кКал,"9,7 г","2,7 г",10 г
Кабачки припущенные по 1-216,39 кКал,5 г,"0,7 г","1,8 г"
Кабачки тушенные в сметане по 2-52,69 кКал,"5,9 г",1 г,"4,7 г"
Кабачки фаршированные овощами по 1-94,130 кКал,"6,3 г","2,3 г","10,5 г"
Кабачок,24 кКал,"4,6 г","0,6 г","0,3 г"
Кабачок желтый,19 кКал,"2,88 г","1,01 г","0,27 г"
"Кабачок желтый вареный, без соли",19 кКал,"2,69 г","1,04 г","0,39 г"
"Кабачок желтый вареный, с солью",19 кКал,"2,69 г","1,04 г","0,39 г"
"Кабачок желтый консервированный, без соли",13 кКал,"1,56 г","0,61 г","0,07 г"
"Кабачок желтый, замороженный",20 кКал,"3,6 г","0,83 г","0,14 г"
"Кабачок желтый, замороженный, вареный, без соли",25 кКал,"4,14 г","1,28 г","0,2 г"
"Кабачок желтый, замороженный, вареный, с солью",25 кКал,"4,14 г","1,28 г","0,2 г"
"Кабачок, все сорта",16 кКал,"2,25 г","1,21 г","0,18 г"
"Кабачок, все сорта, вареный, без соли",20 кКал,"2,91 г","0,91 г","0,31 г"
"Кабачок, все сорта, вареный, с солью",20 кКал,"2,91 г","0,91 г","0,31 г"
"Кале (кудрявая капуста, браунколь)",35 кКал,"0,32 г","2,92 г","1,49 г"
"Кале (кудрявая капуста, браунколь), вареная, без соли",36 кКал,"1,3 г","2,94 г","1,21 г"
"Кале (кудрявая капуста, браунколь), вареная, замороженная, без соли",36 кКал,3 г,"2,94 г","1,21 г"
"Кале (кудрявая капуста, браунколь), замороженная, неприготовленная",28 кКал,"2,88 г","2,66 г","0,46 г"
"Кале, вареная, с солью",44 кКал,3 г,"2,94 г","1,21 г"
"Кале, замороженная, вареная с солью",36 кКал,3 г,"2,94 г","1,21 г"
"Каперсы, консервированные",23 кКал,"1,69 г","2,36 г","0,86 г"
Капуста белокочанная,25 кКал,"3,3 г","1,28 г","0,1 г"
Капуста белокочанная,28 кКал,"4,7 г","1,8 г","0,2 г"
"Капуста белокочанная (датская, домашняя и сорта конической формы), прошлогодняя",24 кКал,"3,07 г","1,21 г","0,18 г"
"Капуста белокочанная (датская, домашняя и сорта конической формы), урожая текущего года, сырая",24 кКал,"3,07 г","1,21 г","0,18 г"
"Капуста белокочанная, вареная, без соли",23 кКал,"3,61 г","1,27 г","0,06 г"
"Капуста белокочанная, вареная, с солью",23 кКал,"3,61 г","1,27 г","0,06 г"
"Капуста белокочанная, квашеная",23 кКал,3 г,"1,8 г","0,1 г"
Капуста жареная по 2-50,50 кКал,"4,2 г","1,8 г","2,8 г"
Капуста запеченная по 1-256,113 кКал,"7,3 г","2,8 г",8 г
"Капуста квашеная, консервированная",19 кКал,"1,38 г","0,91 г","0,14 г"
Капуста краснокочанная,26 кКал,"5,1 г","0,8 г","0,2 г"
"Капуста краснокочанная, вареная, без соли",29 кКал,"4,34 г","1,51 г","0,09 г"
"Капуста краснокочанная, вареная, с солью",29 кКал,"4,34 г","1,51 г","0,09 г"
"Капуста краснокочанная, сырая",31 кКал,"5,27 г","1,43 г","0,16 г"
Капуста маринованная по-японски,30 кКал,"2,57 г","1,6 г","0,1 г"
Капуста отварная по 1-210,24 кКал,"4,2 г","1,4 г","0,1 г"
"Капуста пекинская, приготовленная",12 кКал,"2,23 г","1,1 г","0,17 г"
Капуста припущенная по 1-218,37 кКал,4 г,"1,7 г","1,5 г"
Капуста тушеная по 1-220,75 кКал,"9,2 г",2 г,"3,3 г"
Капустные котлеты по 1-236,153 кКал,"15,3 г","4,2 г","8,2 г"
Картофель,77 кКал,"16,3 г",2 г,"0,4 г"
"Картофель белый неочищенный, печеный",92 кКал,"18,98 г","2,1 г","0,15 г"
"Картофель белый неочищенный, сырой",69 кКал,"13,31 г","1,68 г","0,1 г"
"Картофель дольками, замороженный",129 кКал,"23,46 г","2,7 г","2,2 г"
Картофель жареный брусочками по 1-230,192 кКал,"23,5 г","2,8 г","9,6 г"
Картофель жареный во фритюре по 1-230 (картофель фри),276 кКал,"30,1 г","3,8 г","15,5 г"
Картофель жареный ломтиками (из отварного) по 1-230,161 кКал,"18,6 г","2,3 г","8,6 г"
"Картофель красный неочищенный, печеный",87 кКал,"17,79 г","2,3 г","0,15 г"
"Картофель красный неочищенный, сырой",70 кКал,"14,2 г","1,89 г","0,14 г"
"Картофель красный, запечённый с кожурой",87 кКал,"17,79 г","2,3 г","0,15 г"
"Картофель неочищенный, сырой",77 кКал,"15,39 г","2,05 г","0,09 г"
Картофель О'Брайен (с болгарским перцем) домашнего приготовления,81 кКал,"15,47 г","2,35 г","1,28 г"
"Картофель О'Брайен, замороженный, неприготовленный",76 кКал,"15,57 г","1,83 г","0,14 г"
"Картофель О'Брайен, замороженный, приготовленный",204 кКал,"20,16 г","2,22 г","13,21 г"
"Картофель отваренный в кожуре (в мундире), без соли",87 кКал,"18,33 г","1,87 г","0,1 г"
"Картофель отваренный в кожуре (в мундире), кожура с солью",78 кКал,"13,9 г","2,86 г","0,1 г"
"Картофель отваренный в кожуре (в мундире), кожура, без добавления соли",78 кКал,"13,91 г","2,86 г","0,1 г"
"Картофель отваренный в кожуре (в мундире), с солью",87 кКал,"18,13 г","1,87 г","0,1 г"
Картофель отварной без соли,86 кКал,"18,21 г","1,71 г","0,1 г"
Картофель отварной по 1-206,75 кКал,"15,8 г",2 г,"0,4 г"
Картофель отварной с солью,86 кКал,"18,01 г","1,71 г","0,1 г"
"Картофель печеный, кожура, без соли",198 кКал,"38,16 г","4,29 г","0,1 г"
"Картофель печеный, с солью",93 кКал,"20,05 г","1,96 г","0,1 г"
"Картофель печеный, сердцевина и кожура, с солью",93 кКал,"18,95 г","2,5 г","0,13 г"
"Картофель печеный, сердцевина с кожурой, без соли",93 кКал,"18,95 г","2,5 г","0,13 г"
"Картофель печеный, сердцевина, без соли",93 кКал,"20,05 г","1,96 г","0,1 г"
"Картофель по-селянски, замороженный, неприготовленный",153 кКал,"20,98 г","2,42 г","5,78 г"
"Картофель по-селянски, замороженный, приготовленный без соли, после приготовления в духовке",218 кКал,"30,83 г","3,44 г","8,2 г"
"Картофель по-селянски, замороженный, приготовленный с солью, после приготовление в духовке",218 кКал,"30,83 г","3,44 г","8,2 г"
Картофель сорта Рассет,79 кКал,"16,77 г","2,14 г","0,08 г"
"Картофель сорта Рассет, печеный, сердцевина с кожурой",95 кКал,"19,14 г","2,63 г","0,13 г"
Картофель сушеный,317 кКал,"71,6 г","6,6 г","0,3 г"
Картофель-пюре домашнего приготовления с добавлением молока и маргарина,113 кКал,"15,44 г","1,96 г","4,2 г"
"Картофель-пюре сушеный (дегидрированный), в гранулах не содерщих молока, в сухой форме",372 кКал,"78,41 г","8,22 г","0,54 г"
"Картофель-пюре сушеный (дегидрированный), в гранулах содерщих молоко, в сухой форме",357 кКал,"71,1 г","10,9 г","1,1 г"
"Картофель-пюре сушеный (дегидрированный), приготовленный из гранул не содержащих молока,  с добавлением молока и масла по завершению приготовления",108 кКал,"12,16 г","2,05 г","4,96 г"
"Картофель-пюре сушеный (дегидрированный), приготовленный из гранул содержащих молоко, с добавлением воды и маргарина по завершению приготовления",116 кКал,"14,83 г","2,13 г","4,8 г"
"Картофель-пюре сушеный (дегидрированный), приготовленный из хлопьев не содержащих молока, с добавлением молока и масла по завершению приготовления",97 кКал,"10,07 г","1,77 г","5,13 г"
