Продукт,Калорийность,Углеводы,Белки,Жиры
"Кабан, запеченный",160 кКал,0 г,"28,3 г","4,38 г"
Карибу (канадский олень),127 кКал,0 г,"22,63 г","3,36 г"
"Карибу (канадский олень), запеченный",167 кКал,0 г,"29,77 г","4,42 г"
"Карибу, костный мозг (Аляска)",786 кКал,0 г,"6,7 г","84,4 г"
"Карибу, мясо задней четвертины, приготовленное (Аляска)",159 кКал,0 г,"28,81 г","4,82 г"
"Карибу, огузок (кострец), наполовину высушенный (Аляска)",255 кКал,0 г,"52,06 г","5,23 г"
"Карибу, окорок (Аляска)",122 кКал,0 г,"22,63 г","3,37 г"
Козлятина,109 кКал,0 г,"20,6 г","2,31 г"
"Козлятина, запеченная",143 кКал,0 г,"27,1 г","3,03 г"
Конина,133 кКал,0 г,"21,39 г","4,6 г"
Конина 1 кат.,167 кКал,0 г,"19,5 г","9,9 г"
Конина 2 кат.,121 кКал,0 г,"20,9 г","4,1 г"
"Конина тушеная, консервы",150 кКал,0 г,"18,7 г","8,4 г"
"Конина, запеченная",175 кКал,0 г,"28,14 г","6,05 г"
"Котлеты отбивные из баранины, по 1-416",394 кКал,"9,1 г","20,6 г","30,6 г"
"Котлеты рубленые из баранины, по 1-442",240 кКал,"12,9 г","13,6 г","14,8 г"
"Кролик жареный, по 2-18",241 кКал,"0,1 г","31,5 г","12,7 г"
"Кролик отварной, по 2-6",194 кКал,0 г,"25,5 г","10,4 г"
"Кролик, дикий",114 кКал,0 г,"21,79 г","2,32 г"
"Кролик, дикий, тушеный",173 кКал,0 г,"33,02 г","3,51 г"
Легкое баранье,83 кКал,0 г,"15,6 г","2,3 г"
Легкое баранье,95 кКал,0 г,"16,7 г","2,6 г"
"Легкое баранье, тушеное",113 кКал,0 г,"19,88 г","3,1 г"
Лось,111 кКал,0 г,"22,95 г","1,45 г"
"Лось, вырезка, только мясо, жаренный на открытом огне",162 кКал,0 г,"30,76 г","3,41 г"
"Лось, запеченный",146 кКал,0 г,"30,19 г","1,9 г"
"Лось, корейка, только мясо, жаренный на открытом огне",167 кКал,0 г,31 г,"3,84 г"
"Лось, тазобедренный отруб, только мясо, жаренный на открытом огне",156 кКал,0 г,"30,94 г","2,64 г"
Медведь,161 кКал,0 г,"20,1 г","8,3 г"
Медведь полярный (белый) (Аляска),130 кКал,0 г,"25,6 г","3,1 г"
"Медведь, приготовленный на медленном огне",259 кКал,0 г,"32,42 г","13,39 г"
"Медведь, черный (Аляска)",155 кКал,0 г,"20,1 г","8,3 г"
Мозги бараньи,123 кКал,0 г,"9,7 г","9,4 г"
"Мозги бараньи, жаренные на сковороде",273 кКал,0 г,"16,97 г","22,19 г"
"Мозги бараньи, тушеные",145 кКал,0 г,"12,55 г","10,17 г"
"Мозги, бараньи",122 кКал,0 г,"10,4 г","8,58 г"
"Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, вареная",294 кКал,0 г,"24,52 г","20,94 г"
"Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая",267 кКал,0 г,"16,88 г","21,59 г"
"Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, вареная",271 кКал,0 г,"25,51 г","18,01 г"
"Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",243 кКал,0 г,"17,54 г","18,66 г"
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, вареная",305 кКал,0 г,"24,42 г","22,26 г"
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, вареная",270 кКал,0 г,"25,26 г","17,98 г"
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",232 кКал,0 г,"17,95 г","17,2 г"
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",277 кКал,0 г,"16,74 г","22,74 г"
"Мясной набор, баранина, Новая Зеландия, замороженная, только жир, вареная",586 кКал,0 г,"9,72 г","60,39 г"
"Мясной набор, баранина, Новая Зеландия, замороженная, только жир, сырая",640 кКал,0 г,"6,92 г","67,63 г"
"Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, вареная",206 кКал,0 г,"29,59 г","8,86 г"
"Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, сырая",128 кКал,0 г,"20,75 г","4,41 г"
"Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, вареная",586 кКал,0 г,"12,16 г","59,18 г"
"Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, сырая",665 кКал,0 г,"6,65 г","70,61 г"
"Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, вареная",206 кКал,0 г,"28,22 г","9,52 г"
"Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая",134 кКал,0 г,"20,29 г","5,25 г"
Мясо косули,138 кКал,0 г,"21,1 г",6 г
Мясо кролика,183 кКал,0 г,"21,2 г",11 г
Мясо лося,101 кКал,0 г,"21,4 г","1,7 г"
Мясо сайгака,208 кКал,0 г,"21,2 г","13,7 г"
Мясо яка,112 кКал,0 г,20 г,"3,5 г"
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная",269 кКал,0 г,"22,7 г","19,08 г"
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",268 кКал,0 г,"23,84 г","18,39 г"
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, сырая",244 кКал,0 г,"17,07 г","18,96 г"
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, тушеная",338 кКал,0 г,"29,46 г","23,57 г"
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая",251 кКал,0 г,"17,19 г","19,74 г"
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, тушеная",342 кКал,0 г,"29,43 г","24,03 г"
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",272 кКал,"0,24 г","16,16 г","22,89 г"
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная",357 кКал,0 г,"28,21 г","26,27 г"
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, сырая",154 кКал,0 г,"19,72 г","8,3 г"
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, тушеная",285 кКал,0 г,"34,06 г","15,5 г"
"Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная",242 кКал,0 г,"26,2 г","14,42 г"
"Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",209 кКал,0 г,"18,47 г","14,42 г"
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная",246 кКал,0 г,"24,81 г","15,56 г"
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, жаренная",234 кКал,0 г,"25,34 г","13,95 г"
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая",201 кКал,0 г,"18,76 г","13,37 г"
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",206 кКал,"0,13 г","18,64 г","14,52 г"
"Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, жаренная",181 кКал,0 г,"27,68 г","7,01 г"
"Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, сырая",126 кКал,0 г,"21,1 г","4,64 г"
Оленина 1 кат.,155 кКал,0 г,"19,5 г","8,5 г"
"Оленина тушеная, консервы",171 кКал,0 г,"19,3 г","10,4 г"
"Оленина, 2 категории",125 кКал,0 г,21 г,"4,5 г"
"Олень, (лань)",120 кКал,0 г,"22,96 г","2,42 г"
"Олень, (лань), запеченный",158 кКал,0 г,"30,21 г","3,19 г"
"Олень, (лань), мякоть плечевой части, только мясо, тушеный",191 кКал,0 г,"36,28 г","3,95 г"
"Олень, (лань), стейк из верхней части бедра, только мясо, жареный на открытом огне",152 кКал,0 г,"31,47 г","1,92 г"
"Олень, (лань), стейк из филея, только мясо, жаренный на открытом огне",150 кКал,0 г,"30,2 г","2,38 г"
"Олень, сырой, (Аляска, Ситка)",116 кКал,0 г,"21,5 г","2,66 г"
Ондатра (выхухоль),162 кКал,0 г,"20,76 г","8,1 г"
"Ондатра (выхухоль), запеченная",234 кКал,0 г,"30,09 г","11,74 г"
"Опоссум, запеченный",221 кКал,0 г,"30,2 г","10,2 г"
Печень баранья,101 кКал,0 г,"18,7 г","2,9 г"
Печень баранья,139 кКал,"1,78 г","20,38 г","5,02 г"
"Печень баранья, жаренная  на сковороде",238 кКал,"3,78 г","25,53 г","12,65 г"
"Печень баранья, тушеная",220 кКал,"2,53 г","30,57 г","8,81 г"
"Печень северного оленя карибу, (Аляска)",122 кКал,"6,8 г",15 г,"3,9 г"
"Поджарка из баранины, по 1-408",409 кКал,"3,9 г","19,5 г","35,1 г"
Поджелудочная железа баранья,152 кКал,0 г,"14,84 г","9,82 г"
Поджелудочная железа баранья тушеная,234 кКал,0 г,"22,83 г","15,12 г"
Почки бараньи,77 кКал,0 г,"13,6 г","2,5 г"
Почки бараньи,97 кКал,"0,82 г","15,74 г","2,95 г"
"Почки бараньи, тушеные",137 кКал,"0,99 г","23,65 г","3,62 г"
"Рагу из баранины, по 1-430",152 кКал,"10,1 г","5,1 г","10,1 г"
"Рагу из кролика, по 2-10",123 кКал,"10,4 г","6,4 г","6,1 г"
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная",341 кКал,0 г,"21,82 г","27,53 г"
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная на открытом огне",340 кКал,0 г,"23,06 г","26,82 г"
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",342 кКал,0 г,"15,32 г","30,71 г"
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная",253 кКал,"0,04 г","22,06 г","18,29 г"
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, жаренная",317 кКал,0 г,"19,86 г","25,74 г"
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, сырая",311 кКал,0 г,"15,87 г",27 г
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",240 кКал,"0,13 г","18,12 г","18,52 г"
"Ребра, баранина, Новая Зеландия, замороженная, только мясо, жаренная",196 кКал,0 г,"24,42 г","10,16 г"
"Ребра, баранина, Новая Зеландия, замороженная, только мясо, сырая",160 кКал,0 г,"20,65 г","8,61 г"
Рубец бараний,82 кКал,0 г,"11,5 г",4 г
"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, сырая",201 кКал,0 г,"18,91 г","13,38 г"
"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, тушеная",243 кКал,0 г,"28,37 г","13,46 г"
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая",223 кКал,0 г,"18,04 г","16,15 г"
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, тушеная",258 кКал,0 г,"26,97 г","15,83 г"
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",183 кКал,"0,09 г","20,09 г","11,38 г"
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная",258 кКал,0 г,"26,97 г","15,83 г"
"Рулька, баранина, Новая Зеландия, замороженная, только мясо, сырая",122 кКал,0 г,"22,05 г","3,77 г"
"Рулька, баранина, Новая Зеландия, замороженная, только мясо, тушеная",209 кКал,0 г,"33,31 г","8,4 г"
Селезенка баранья,101 кКал,0 г,"17,2 г","3,1 г"
"Селезенка баранья, тушеная",156 кКал,0 г,"26,46 г","4,77 г"
Сердце баранье,86 кКал,0 г,"13,5 г","3,5 г"
Сердце баранье,122 кКал,"0,21 г","16,47 г","5,68 г"
"Сердце баранье, тушеное",185 кКал,"1,93 г","24,97 г","7,91 г"
Фарш из баранины,282 кКал,0 г,"16,56 г","23,41 г"
"Фарш из баранины, жаренный на открытом огне",283 кКал,0 г,"24,75 г","19,65 г"
Фарш из мяса белки (Аляска),111 кКал,0 г,"19,3 г","3,8 г"
Фарш из мяса бизона,223 кКал,0 г,"18,67 г","15,93 г"
"Фарш из мяса бизона, жаренный на сковороде",238 кКал,0 г,"23,77 г","15,13 г"
Фарш из мяса зубра пастбищного,146 кКал,"0,05 г","20,23 г","7,21 г"
"Фарш из мяса зубра пастбищного, приготовленный",179 кКал,0 г,"25,45 г","8,62 г"
Фарш из мяса лося,172 кКал,0 г,"21,76 г","8,82 г"
"Фарш из мяса лося, жаренный на сковороде",193 кКал,0 г,"26,64 г","8,74 г"
Фарш из мяса оленя (лани),157 кКал,0 г,"21,78 г","7,13 г"
"Фарш из мяса оленя (лани), жаренный на сковороде",187 кКал,0 г,"26,45 г","8,22 г"
"Шницель отбивной из баранины, по 1-416",333 кКал,"9,1 г","21,8 г","23,2 г"
Ягнятина,196 кКал,0 г,"17,2 г","14,1 г"
"Ягнятина, лопаточная часть",259 кКал,0 г,"16,63 г","20,86 г"
"Ягнятина, лопаточная часть жаренная на открытом огне",278 кКал,0 г,"23,08 г","19,94 г"
"Ягнятина, лопаточная часть только мясо",151 кКал,0 г,"19,29 г","7,63 г"
"Ягнятина, лопаточная часть только мясо, жаренная на открытом огне",211 кКал,0 г,"25,48 г","11,32 г"
"Ягнятина, лопаточная часть только мясо, запеченная",209 кКал,0 г,"24,61 г","11,57 г"
"Ягнятина, лопаточная часть, запеченная",281 кКал,0 г,"22,25 г","20,61 г"
"Ягнятина, лопаточная часть, только мясо, тушеная",288 кКал,0 г,"32,35 г","16,64 г"
"Ягнятина, лопаточная часть, тушеная",345 кКал,0 г,"28,51 г","24,73 г"
"Ягнятина, окорок",272 кКал,0 г,"16,94 г","22,11 г"
"Ягнятина, окорок, запеченный",292 кКал,0 г,"24,63 г","20,67 г"
"Ягнятина, окорок, только мясо, запеченный",204 кКал,0 г,"28,35 г","9,17 г"
"Ягнятина, плечевая часть",260 кКал,0 г,"16,79 г","20,9 г"
"Ягнятина, плечевая часть, жаренная на открытом огне",281 кКал,0 г,"24,44 г","19,55 г"
"Ягнятина, плечевая часть, запеченная",279 кКал,0 г,"22,53 г","20,24 г"
"Ягнятина, плечевая часть, только мясо",132 кКал,0 г,"19,99 г","5,2 г"
"Ягнятина, плечевая часть, только мясо, жаренная на открытом огне",200 кКал,0 г,"27,71 г","9,02 г"
"Ягнятина, плечевая часть, только мясо, запеченная",192 кКал,0 г,"25,46 г","9,26 г"
"Ягнятина, плечевая часть, только мясо, тушеная",279 кКал,0 г,"35,54 г","14,08 г"
"Ягнятина, плечевая часть, тушеная",346 кКал,0 г,"30,39 г",24 г
Язык бараний,195 кКал,0 г,"12,6 г","16,1 г"
Язык бараний,222 кКал,0 г,"15,7 г","17,17 г"
