Продукт,Калорийность,Углеводы,Белки,Жиры
Сафлоровое масло линолевое (более 70%),884 кКал,0 г,0 г,100 г
"Соевое (частично гидрогенизированное) и хлопковое масла, смесь",884 кКал,0 г,0 г,100 г
Соевое масло,899 кКал,0 г,0 г,"99,9 г"
"Соевое масло (частично гидрогенизированное и вымороженное), для пищевой промышленности, для чистой жарки",884 кКал,0 г,0 г,100 г
"Соевое масло (частично гидрогенизированное) и пальмовое, для пищевой промышленности, для изготовления глазури и наполнителей",884 кКал,0 г,0 г,100 г
"Соевое масло (частично гидрогенизированное) и хлопковое, для пищевой промышленности, для тортильи",884 кКал,0 г,0 г,100 г
"Соевое масло (частично гидрогенизированное),  для пищевой промышленности, для приготовления попкорна и приправленных овощей",884 кКал,0 г,0 г,100 г
"Соевое масло (частично гидрогенизированное), для пищевой промышленности",884 кКал,0 г,0 г,100 г
"Соевое масло (частично гидрогенизированное), для пищевой промышленности, со вкусом сливочного  масла",884 кКал,0 г,0 г,100 г
"Соевое масло гидрогенезированное, для пищевой промышленности",884 кКал,0 г,0 г,100 г
Соевое масло для заправки салатов или готовки,884 кКал,0 г,0 г,100 г
Соевое масло для заправки салатов или готовки (частично гидрогенизированное),884 кКал,0 г,0 г,100 г
"Соевое масло низколинолевое, для пищевой промышленности",900 кКал,0 г,0 г,100 г
Соевое масло рафинированное,884 кКал,0 г,0 г,100 г
"Соевое масло рафинированное, для пищевой промышленности, для вока и легкой обжарки",884 кКал,0 г,0 г,100 г
"Соевое масло, ультра низколинолевое, для пищевой промышленности",884 кКал,0 г,0 г,100 г
Соевый лецитин,763 кКал,0 г,0 г,100 г
"Спред на основе растительного масла, 53% жирности, низкокалорийный",465 кКал,0 г,0 г,53 г
Хлопковое масло,884 кКал,0 г,0 г,100 г
Хлопковое масло,"899,1 кКал",0 г,0 г,"99,9 г"
"Хлопковое масло полностью гидрогенезированное, для пищевой промышленности",884 кКал,0 г,0 г,100 г
