Продукт,Калорийность,Углеводы,Белки,Жиры
"Соевое молоко, обогащенное (витаминами А, С. Е, D, B1, В6, РР, калием, кальцием)",45 кКал,"3,05 г","2,94 г","1,99 г"
"Соевое молоко, шоколадное и другие вкусы, легкое, с доб. кальция, витаминов A и D",47 кКал,"7,54 г","2,1 г","0,64 г"
"Соевое молоко, шоколадное, необогащенное",63 кКал,"9,55 г","2,26 г","1,53 г"
"Соевое молоко, шоколадное, обезжиренное, с доб. кальция, витаминов A и D",44 кКал,"8,31 г","2,47 г","0,04 г"
"Соевое молоко, шоколадное, с доб. кальция, витаминов A и D",63 кКал,"9,55 г","2,26 г","1,53 г"
"Соевые бобы, зеленые",147 кКал,"6,85 г","12,95 г","6,8 г"
"Соевые бобы, зеленые, вареные, без соли",141 кКал,"6,85 г","12,35 г","6,4 г"
"Соевые бобы, зеленые, вареные, с солью",141 кКал,"6,85 г","12,35 г","6,4 г"
"Соевые бобы, зрелые",446 кКал,"20,86 г","36,49 г","19,94 г"
"Соевые бобы, зрелые, вареные, без доб. соли",172 кКал,"2,36 г","18,21 г","8,97 г"
"Соевые бобы, зрелые, вареные, с доб. соли",172 кКал,"2,36 г","18,21 г","8,97 г"
"Соевые бобы, зрелые, поджаренные без масла",449 кКал,"20,88 г","43,32 г","21,62 г"
"Соевые бобы, зрелые, поджаренные, без доб. соли",469 кКал,"12,52 г","38,55 г","25,4 г"
"Соевые бобы, зрелые, поджаренные, с доб. соли",469 кКал,"12,52 г","38,55 г","25,4 г"
"Соевые бобы, спелые проросшие семена, жаренные",125 кКал,"8,6 г","13,1 г","7,1 г"
"Соевые бобы, спелые проросшие семена, жаренные, с солью",125 кКал,"8,6 г","13,1 г","7,1 г"
"Соевые бобы, спелые проросшие семена, приготовленные на пару",81 кКал,"5,73 г","8,47 г","4,45 г"
"Соевые бобы, спелые проросшие семена, приготовленные на пару, с солью",81 кКал,"5,73 г","8,47 г","4,45 г"
"Соевые бобы, спелые проросшие семена, сырые",122 кКал,"8,47 г","13,09 г","6,7 г"
"Соевый жмых, обезжиренный",337 кКал,"35,89 г","49,2 г","2,39 г"
Соевый протеиновый изолят,335 кКал,0 г,"88,32 г","3,39 г"
"Соевый протеиновый концентрат, технология спиртовой экстракции",328 кКал,"19,91 г","63,63 г","0,46 г"
Соевый творог,151 кКал,"6,9 г","12,5 г","8,1 г"
"Соя, зерно",364 кКал,"17,3 г","36,7 г","17,8 г"
Спаржевая фасоль вигна,47 кКал,"8,35 г","2,8 г","0,4 г"
"Спаржевая фасоль вигна, вареная, без соли",47 кКал,"9,18 г","2,53 г","0,1 г"
"Спаржевая фасоль вигна, вареная, с солью",47 кКал,"9,17 г","2,53 г","0,1 г"
"Спаржевая фасоль вигна, зрелые семена",347 кКал,"50,91 г","24,33 г","1,31 г"
"Спаржевая фасоль вигна, зрелые семена, вареная с солью",118 кКал,"17,29 г","8,29 г","0,45 г"
"Спаржевая фасоль вигна, зрелые семена, вареная, без соли",118 кКал,"17,29 г","8,29 г","0,45 г"
"Спред для сэндвичей, из заменителя мяса",149 кКал,"5,7 г",8 г,9 г
"Суккоташ (смесь кукурузы и лимской фасоли), вареная, без соли",115 кКал,"19,88 г","5,07 г","0,8 г"
"Суккоташ (смесь кукурузы и лимской фасоли), вареная, с солью",111 кКал,"24,37 г","5,07 г","0,8 г"
"Суккоташ (смесь кукурузы и лимской фасоли), замороженная",93 кКал,"15,94 г","4,31 г","0,89 г"
"Суккоташ (смесь кукурузы и лимской фасоли), замороженная, вареная, без соли",93 кКал,"15,85 г","4,31 г","0,89 г"
"Суккоташ (смесь кукурузы и лимской фасоли), замороженная, вареная, с солью",93 кКал,"15,85 г","4,31 г","0,89 г"
"Суккоташ (смесь кукурузы и лимской фасоли), с раздавленными зарнами кукурузы, консервированная",77 кКал,"14,61 г","2,64 г","0,54 г"
"Суккоташ (смесь кукурузы и лимской фасоли), с цельными зарнами кукурузы, консервированная",63 кКал,"11,38 г","2,6 г","0,49 г"
"Суккоташ (смесь кукурузы и лимской фасоли), сырая",99 кКал,"15,79 г","5,03 г","1,02 г"
Темпе,192 кКал,"7,64 г","20,29 г","10,8 г"
"Темпе, приготовленный",195 кКал,"7,62 г","19,91 г","11,38 г"
Тофу йогурт,94 кКал,"15,76 г","3,5 г","1,8 г"
Тофу ферментированный (fuyu),116 кКал,"4,38 г","8,92 г",8 г
"Тофу ферментированный (fuyu), приготовленный с сульфатом кальция",116 кКал,"5,15 г","8,15 г",8 г
"Тофу, жареный",270 кКал,"4,96 г","18,82 г","20,18 г"
"Тофу, жареный, приготовлен с сульфатом кальция",270 кКал,"4,96 г","18,82 г","20,18 г"
"Тофу, мягкий, приготовленный с сульфатом кальция и хлоридом магния (нигари)",61 кКал,"0,98 г","7,17 г","3,69 г"
"Тофу, окара (соевый жмых)",76 кКал,"12,23 г","3,52 г","1,73 г"
"Тофу, плотый, приготовленный с сульфатом кальция и хлоридом магния (нигари)",78 кКал,"1,95 г","9,04 г","4,17 г"
"Тофу, сушено-замороженный (Коядофу)",477 кКал,"2,83 г","52,47 г","30,34 г"
"Тофу, сушено-замороженный (Коядофу), приготовленный с сульфатом кальция",470 кКал,"7,1 г","52,43 г","30,34 г"
"Тофу, сырой, обычный, 8% белка, приготовленный с сульфатом кальция",76 кКал,"1,57 г","8,08 г","4,78 г"
"Тофу, сырой, твёрдый, приготовленный с сульфатом кальция",144 кКал,"0,48 г","17,27 г","8,72 г"
"Тофу, твёрдый 10% белка, приготовленный с сульфатом кальция и хлоридом магния (нигари)",83 кКал,"0,18 г","9,98 г","5,26 г"
"Тофу, твердый 12,7% белка, приготовленный с сульфатом кальция и хлоридом магния (нигари)",145 кКал,"3,79 г","12,68 г","9,99 г"
Фалафель домашнего приготовления,333 кКал,"31,84 г","13,31 г","17,8 г"
Фасолевый отвар из-под тушеной фасоли кидни,47 кКал,"2,7 г","1,8 г","3,2 г"
"Фасоль белая (великие северные бобы), зрелая",339 кКал,"42,17 г","21,86 г","1,14 г"
"Фасоль белая (великие северные бобы), зрелая, вареная, без соли",118 кКал,"14,09 г","8,33 г","0,45 г"
"Фасоль белая (великие северные бобы), зрелая, вареная, с солью",118 кКал,"14,09 г","8,33 г","0,45 г"
"Фасоль белая (великие северные бобы), зрелая, консервированная",114 кКал,"16,12 г","7,37 г","0,39 г"
"Фасоль белая (великие северные бобы), зрелая, консервированная, с пониженным содержанием натрия",114 кКал,"16,12 г","7,37 г","0,39 г"
"Фасоль белая Нэви, зрелые семена",337 кКал,"45,45 г","22,33 г","1,5 г"
"Фасоль белая Нэви, зрелые семена, вареная, без доб. соли",140 кКал,"15,55 г","8,23 г","0,62 г"
"Фасоль белая Нэви, зрелые семена, вареная, с доб. соли",140 кКал,"15,55 г","8,23 г","0,62 г"
"Фасоль белая Нэви, зрелые семена, консервированная",113 кКал,"15,35 г","7,53 г","0,43 г"
"Фасоль белая Нэви, проросшая",67 кКал,"13,05 г","6,15 г","0,7 г"
"Фасоль белая Нэви, проросшая, вареная без соли",78 кКал,"15,01 г","7,07 г","0,81 г"
"Фасоль белая Нэви, проросшая, вареная с солью",78 кКал,"15,01 г","7,07 г","0,81 г"
