Продукт,Калорийность,Углеводы,Белки,Жиры
"Печенье, шоколадное, приготовленное по рецепту",466 кКал,"50,2 г","6,2 г","29,1 г"
"Печенье, шоколадное, промышленного изготовления",405 кКал,"61,8 г","4,8 г","16,3 г"
"Печенье, шоколадное, сухая смесь, диетическая",426 кКал,"76,2 г","2,9 г","12,5 г"
"Печенье, шоколадное, сухая смесь, стандартная",434 кКал,"76,6 г",4 г,"14,9 г"
"Печенье, шоколадные кусочки, промышленного изготовления, мягкое",444 кКал,"63,95 г","3,63 г","19,77 г"
"Печенье, шоколадные кусочки, промышленного изготовления, станд., с повышенным содержанием жира, необогащенное",481 кКал,"64,3 г","5,4 г","22,6 г"
"Печенье, шоколадные кусочки, промышленного изготовления, станд., с повышенным содержанием жира, обогащенное",492 кКал,"63,36 г","5,1 г","24,72 г"
"Печенье, шоколадные кусочки, промышленного изготовления, станд., с пониженным содержанием жира",451 кКал,"64,49 г","5,97 г","17,91 г"
Пирожное бисквитное с белковым кремом,336 кКал,"63,1 г","4,4 г","7,3 г"
Пирожное вафельное молочное,572 кКал,"55,3 г","4,8 г","36,7 г"
Пирожное воздушное с кремом,440 кКал,"60,5 г","2,6 г","20,8 г"
Пирожное заварное с кремом (трубочка),433 кКал,"48,8 г","4,4 г","24,5 г"
Пирожное крошковое,388 кКал,"47,5 г","5,9 г","19,4 г"
Пирожное миндальное,433 кКал,"63,2 г","8,5 г","16,2 г"
Пирожное песочное с кремом,485 кКал,"52,1 г","5,1 г","28,2 г"
Пирожное песочное с фруктовой начинкой,435 кКал,"62,6 г","5,1 г","18,5 г"
Пирожное слоеное с белковым кремом,461 кКал,"50,6 г","6,1 г",26 г
"Пирожное, белково-сбивное",468 кКал,"62,6 г","2,8 г","24,3 г"
"Пирожное, бисквитное, с фруктовой начинкой",351 кКал,"64,2 г","4,7 г","9,3 г"
"Пирожное, слоеное с кремом",555 кКал,"46,4 г","5,4 г","38,6 г"
"Пирожное, слоеное с яблочной начинкой",466 кКал,"52,7 г","5,7 г","25,6 г"
Плитки кондитерские,537 кКал,"48,1 г","7,8 г","34,6 г"
Плитки кондитерские сладкие,552 кКал,"54,5 г","6,2 г","34,2 г"
Пралине с ржаной мукой,567 кКал,52 г,"4,7 г","37,7 г"
"Пралине с соевой мукой (*раффинозы и стахиозы менее 0,3%)",535 кКал,"51,2 г","9,9 г","32,2 г"
Пряники заварные,366 кКал,75 г,"5,9 г","4,7 г"
Пряники сырцовые,346 кКал,"75,6 г","6,3 г","2,1 г"
"Пудинг из тапиоки, приготовленный на цельном молоке",115 кКал,"19,43 г","2,84 г","2,89 г"
"Пудинг, банановый, быстрого приготовления, приготовленный на цельном молоке",115 кКал,"19,76 г","2,62 г","2,8 г"
"Пудинг, банановый, обычный, приготовленный на цельном молоке",111 кКал,"18,44 г","2,74 г","2,89 г"
"Пудинг, банановый, сухая смесь, быстрого приготовления",367 кКал,"92,7 г",0 г,"0,6 г"
"Пудинг, банановый, сухая смесь, быстрого приготовления, с доб масла",386 кКал,89 г,0 г,"4,4 г"
"Пудинг, банановый, сухая смесь, обычный",366 кКал,"92,7 г",0 г,"0,4 г"
"Пудинг, банановый, сухая смесь, обычный, с доб масла",387 кКал,"88,1 г",0 г,5 г
"Пудинг, ванильный, быстрого приготовления, приготовленный на цельном молоке",114 кКал,"19,7 г","2,7 г","2,9 г"
"Пудинг, ванильный, готовый к употреблению",130 кКал,"22,6 г","1,45 г","3,78 г"
"Пудинг, ванильный, готовый к употреблению, обезжиренный",89 кКал,"20,16 г","2,02 г",0 г
"Пудинг, ванильный, обычный, приготовленный на цельном молоке",113 кКал,"18,82 г","2,8 г","2,9 г"
