Продукт,Калорийность,Углеводы,Белки,Жиры
"Паста (макароны, спагетти), сухая",371 кКал,"71,47 г","13,04 г","1,51 г"
Перловая каша по 1-270,135 кКал,"22,9 г","2,9 г","3,5 г"
Перловая крупа,315 кКал,"66,9 г","9,3 г","1,1 г"
Перловая крупа,352 кКал,"62,12 г","9,91 г","1,16 г"
"Перловая крупа, приготовленная",123 кКал,"24,42 г","2,26 г","0,44 г"
"Полба (спельта), неприготовленная",338 кКал,"59,49 г","14,57 г","2,43 г"
"Полба (спельта), приготовленная",127 кКал,"22,54 г","5,5 г","0,85 г"
"Просо, зерно продовольственное",298 кКал,"54,6 г","11,2 г","3,9 г"
Пудинг рисовый по 1-292,202 кКал,32 г,"5,6 г","5,7 г"
Пшеница мягкая белозёрная,340 кКал,"62,66 г","10,69 г","1,99 г"
Пшеница мягкая краснозёрная озимая,331 кКал,"61,74 г","10,35 г","1,56 г"
"Пшеница мягкая, зерно",305 кКал,"59,5 г","11,8 г","2,2 г"
Пшеница проросшая,198 кКал,"41,43 г","7,49 г","1,27 г"
Пшеница стекловидная белозёрная,342 кКал,"63,7 г","11,31 г","1,71 г"
Пшеница стекловидная краснозёрная озимая,327 кКал,"58,98 г","12,61 г","1,54 г"
Пшеница стекловидная краснозёрная яровая,329 кКал,"55,83 г","15,4 г","1,92 г"
"Пшеница твердая, зерно",339 кКал,"71,13 г","13,68 г","2,47 г"
"Пшеница твердая, зерно",304 кКал,"57,5 г",13 г,"2,5 г"
"Пшеничная каша жидкая, проготовленная на воде, без соли",62 кКал,"12,1 г",2 г,"0,4 г"
"Пшеничная каша жидкая, проготовленная на воде, с солью",62 кКал,"12,1 г",2 г,"0,4 г"
"Пшеничная каша рассыпчатая из крупы «Полтавская», по 1-272",153 кКал,"25,7 г","4,4 г","3,6 г"
Пшеничная клейковина (глютен),370 кКал,"13,19 г","75,16 г","1,85 г"
Пшеничная крупа,342 кКал,"65,7 г","11,2 г",2 г
"Пшеничная крупа ""Артек""",329 кКал,"68,5 г",11 г,"1,2 г"
"Пшеничная крупа ""Полтавская""",329 кКал,"67,9 г","11,5 г","1,3 г"
Пшеничная мука высшего сорта из мягкой пшеницы,334 кКал,"70,6 г","10,3 г","1,1 г"
"Пшеничная мука высшего сорта, 10% белка, неотбеленная, обогащенная",366 кКал,"73,82 г","9,71 г","1,48 г"
"Пшеничная мука высшего сорта, 10% белка, отбеленная, необогащенная",366 кКал,"73,82 г","9,71 г","1,48 г"
"Пшеничная мука высшего сорта, 10% белка, отбеленная, обогащенная",366 кКал,"73,82 г","9,71 г","1,48 г"
"Пшеничная мука высшего сорта, 11,5% белка, неотбеленная, обогащенная",363 кКал,"71,41 г","11,5 г","1,45 г"
