Продукт,Калорийность,Углеводы,Белки,Жиры
Молочный Шоколад с Цельным Фундуком [Яшкино],570 кКал,47 г,8 г,39 г
Молочный Шоколад с Черносливом и Кукурузными Хлопьями [Яшкино],570 кКал,53 г,6 г,37 г
Молочный Шоколад с Шоколадно-Банановой Начинкой [Яшкино],560 кКал,57 г,"3,5 г",35 г
Мука Цельнозерновая [Яшкино],312 кКал,"61,5 г","11,5 г","2,2 г"
Мягкие Вафли [Яшкино],440 кКал,50 г,7 г,24 г
Мягкие Вафли с Вареной Сгущенкой [Яшкино],430 кКал,49 г,6 г,22 г
Мягкие Вафли с Вишневым Джемом [Яшкино],390 кКал,60 г,"4,5 г",15 г
Мягкие Вафли с Кремом Вареная Сгущенка [Яшкино],400 кКал,50 г,6 г,20 г
Мягкие Вафли с Шоколадным Кремом [Яшкино],400 кКал,49 г,6 г,20 г
Мягкие Вафли со Сгущенкой [Яшкино],400 кКал,50 г,6 г,20 г
Немецкий Бретцель [Яшкино],410 кКал,69 г,"9,5 г",11 г
Овсяное Печенье Сдобное [Яшкино],450 кКал,67 г,"5,5 г",18 г
Оладушки [Яшкино],300 кКал,50 г,5 г,9 г
Оладушки с Варёной Сгущёнкой [Яшкино],360 кКал,52 г,6 г,14 г
Оладушки с Варёной Сгущёнкой [Яшкино],350 кКал,55 г,6 г,12 г
Оладушки с Шоколадной Начинкой [Яшкино],345 кКал,53 г,6 г,12 г
Панини с Яблочным Джемом [Яшкино],425 кКал,53 г,"5,2 г","20,2 г"
Печенье [Яшкино],460 кКал,68 г,"7,5 г",17 г
Печенье Forsite [Яшкино],480 кКал,63 г,7 г,23 г
Печенье Forsite Шоколадно-Сливочный Вкус [Яшкино],490 кКал,61 г,"6,5 г",24 г
Печенье Апельсин [Яшкино],294 кКал,60 г,"3,5 г","4,5 г"
Печенье Вишня [Яшкино],360 кКал,72 г,3 г,"6,5 г"
Печенье Воздушное Суфле [Яшкино],390 кКал,69 г,6 г,10 г
Печенье Воздушное Шоколадное [Яшкино],500 кКал,58 г,6 г,27 г
Печенье Галета [Яшкино],360 кКал,67 г,10 г,"5,5 г"
Печенье Грановская Кунжутка [Яшкино],540 кКал,"49,2 г",11 г,34 г
Печенье Дженс [Яшкино],500 кКал,63 г,7 г,24 г
Печенье Затяжное [Яшкино],490 кКал,65 г,"5,5 г",23 г
Печенье Затяжное с Клубничным Кремом [Яшкино],500 кКал,65 г,6 г,24 г
Печенье Затяжное со Сливочным Кремом [Яшкино],490 кКал,64 г,"5,5 г",24 г
Печенье Клубника [Яшкино],295 кКал,61 г,"3,5 г",4 г
Печенье Клубника Сдобное [Яшкино],370 кКал,75 г,"3,5 г","7,5 г"
Печенье Мария [Яшкино],410 кКал,72 г,8 г,"9,5 г"
