Продукт,Калорийность,Углеводы,Белки,Жиры
Смородина белая,42 кКал,8 г,"0,5 г","0,2 г"
Смородина красная,43 кКал,"7,7 г","0,6 г","0,2 г"
Смородина черная,44 кКал,"7,3 г",1 г,"0,4 г"
"Смородина черная, европейская",63 кКал,"15,38 г","1,4 г","0,41 г"
"Смородина, красная и белая",56 кКал,"9,5 г","1,4 г","0,2 г"
"Тамаринд, сырой",239 кКал,"57,4 г","2,8 г","0,6 г"
Терн,54 кКал,"9,4 г","1,5 г","0,3 г"
Фейхоа,61 кКал,"8,81 г","0,71 г","0,42 г"
Физалис,53 кКал,"11,2 г","1,9 г","0,7 г"
"Финик, королевский",277 кКал,"68,27 г","1,81 г","0,15 г"
Финики,292 кКал,"69,2 г","2,5 г","0,5 г"
Финики Деглет нур,282 кКал,"67,03 г","2,45 г","0,39 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в водной заливке",32 кКал,"7,51 г","0,42 г","0,05 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в легком сахарном сиропе",57 кКал,"13,93 г","0,4 г","0,07 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в насыщенном сахарном сиропе",73 кКал,"17,91 г","0,39 г","0,07 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в собственном соку",46 кКал,"10,86 г","0,46 г","0,01 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в экстра-легком сахарном сиропе",45 кКал,"10,53 г","0,4 г","0,07 г"
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в экстра-насыщенном сахарном сиропе",88 кКал,"21,79 г","0,39 г","0,07 г"
"Фруктовый коктейль, консервированный в насыщенном сахарном сиропе, сухой продукт",70 кКал,"17,1 г","0,47 г","0,1 г"
"Фруктовый салат (ананас, папайя, банан и гуава), консервированный в насыщенном сиропе",86 кКал,"21,06 г","0,41 г","0,1 г"
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в водной заливке",30 кКал,"6,87 г","0,35 г","0,07 г"
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в легком сиропе",58 кКал,"14,14 г","0,34 г","0,07 г"
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в собственном соку",50 кКал,"12,05 г","0,51 г","0,03 г"
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в экстра-насыщенном сахарном сиропе",88 кКал,"21,77 г","0,33 г","0,06 г"
Хурма,67 кКал,"15,3 г","0,5 г","0,4 г"
Хурма виргинская (американская),127 кКал,"33,5 г","0,8 г","0,4 г"
Хурма восточная,70 кКал,"14,99 г","0,58 г","0,19 г"
"Хурма восточная, сушеная",274 кКал,"58,93 г","1,38 г","0,59 г"
Цукаты,322 кКал,"81,14 г","0,34 г","0,07 г"
Черемуха,46 кКал,10 г,0 г,0 г
"Черёмуха виргинская, северо-американская",162 кКал,"13,62 г","3,04 г","1,69 г"
Черешневый компот. Консервы,87 кКал,"20,6 г","0,5 г","0,2 г"
Черешня,63 кКал,"13,91 г","1,06 г","0,2 г"
Черешня,52 кКал,"10,6 г","1,1 г","0,4 г"
"Черешня, консервированная в водной заливке",46 кКал,"10,26 г","0,77 г","0,13 г"
"Черешня, консервированная в легком сиропе",67 кКал,"15,79 г","0,61 г","0,15 г"
"Черешня, консервированная в насыщенном сиропе",83 кКал,"19,87 г","0,6 г","0,15 г"
"Черешня, консервированная в насыщенном сиропе, сухой продукт",83 кКал,"18,77 г","0,73 г","0,21 г"
"Черешня, консервированная в собственном соку",54 кКал,"12,31 г","0,91 г","0,02 г"
"Черешня, консервированная в экстра-насыщенном сиропе",102 кКал,"24,73 г","0,59 г","0,15 г"
Черимойя,75 кКал,"14,71 г","1,57 г","0,68 г"
Черника,57 кКал,"12,09 г","0,74 г","0,33 г"
Черника,44 кКал,"7,6 г","1,1 г","0,6 г"
Черника дикая (Аляска),61 кКал,"9,71 г","1,22 г","0,76 г"
"Черника дикая замороженная, (Аляска)",44 кКал,"10,4 г","0,7 г",0 г
"Черника дикая, замороженная",57 кКал,"9,45 г",0 г,"0,16 г"
"Черника дикая, консервированная в насыщенном сиропе",107 кКал,"23,42 г","0,56 г","0,34 г"
"Черника сушеная, подслащенная",317 кКал,"72,5 г","2,5 г","2,5 г"
"Черника, замороженная, неподслащенная",51 кКал,"9,47 г","0,42 г","0,64 г"
"Черника, замороженная, подслащенная",85 кКал,"19,75 г","0,4 г","0,13 г"
"Черника, консервированная в легком сахарном сиропе, сухой продукт",88 кКал,"20,06 г","1,04 г","0,4 г"
"Черника, консервированная в насыщенном сахарном сиропе",88 кКал,"20,46 г","0,65 г","0,33 г"
"Черника, сырая (Аляска)",37 кКал,"8,7 г","0,4 г","0,1 г"
Чернослив (слива сушеная),240 кКал,"56,78 г","2,18 г","0,38 г"
