Продукт,Калорийность,Углеводы,Белки,Жиры
"Капучино 0,4 [Ростик'c - KFC]",128 кКал,"19,9 г","5,1 г","2,8 г"
Картофель по-Деревенски [Ростик'c - KFC],265 кКал,"24,2 г",3 г,"17,4 г"
Картофель по-Деревенски Малый [Ростик'c - KFC],212 кКал,"19,4 г","2,4 г","13,9 г"
Картофель по-Деревенски Малый [Ростик'c - KFC],265 кКал,"24,2 г",3 г,"17,4 г"
Картофель Фри [Ростик'c - KFC],276 кКал,"30,1 г","3,8 г","15,5 г"
Картофель Фри Маленькая [Ростик'c - KFC],193 кКал,"21,1 г","2,7 г","10,9 г"
Картофель Фри Малый [Ростик'c - KFC],166 кКал,"30,1 г","3,8 г","15,5 г"
Картофель Фри Стандартный [Ростик'c - KFC],331 кКал,"36,1 г","4,6 г","18,6 г"
Картофельные Кранчи Фри [Ростик'c - KFC],233 кКал,"13,1 г","2,6 г","18,8 г"
Картофельный Хашбраун [Ростик'c - KFC],534 кКал,"14,1 г","2,4 г",52 г
Картошка Фри [Ростик'c - KFC],276 кКал,"30,1 г","3,8 г","15,5 г"
Кекс Апельсиновый [Ростик'c - KFC],414 кКал,"47,4 г","4,9 г","22,8 г"
Кекс Шоколадно-Апельсиновый [Ростик'c - KFC],436 кКал,"47,8 г","5,4 г","24,8 г"
Кекс Шоколадно-Апельсиновый [Ростик'c - KFC],131 кКал,"14,3 г","1,6 г","7,4 г"
Кетчуп [Ростик'c - KFC],110 кКал,25 г,1 г,"0,1 г"
Классик [Ростик'c - KFC],345 кКал,"38,2 г","17,1 г","13,8 г"
Клубничный Дайкири [Ростик'c - KFC],188 кКал,"47,2 г",0 г,0 г
"Кофе Американо 0,3 [Ростик'c - KFC]",78 кКал,"15,6 г","0,6 г","1,5 г"
"Кофе Глясе 0,2 [Ростик'c - KFC]",84 кКал,14 г,"1,8 г","2,4 г"
"Кофе Капучино 0,3 [Ростик'c - KFC]",119 кКал,"20,7 г","3,5 г","2,5 г"
"Кофе Капучино без Сахара 0,3 [Ростик'c - KFC]",59 кКал,"5,9 г","3,7 г","2,1 г"
"Кофе Латте 0,3 [Ростик'c - KFC]",157 кКал,"24,5 г","5,8 г","3,9 г"
"Кофе Латте 0,4 [Ростик'c - KFC]",169 кКал,"24,8 г","7,9 г","4,7 г"
Криспи Чипс [Ростик'c - KFC],444 кКал,"28,9 г",5 г,"34,3 г"
Крыло Куриное [Ростик'c - KFC],314 кКал,"15,4 г","16,6 г","20,7 г"
Крылышки [Ростик'c - KFC],678 кКал,"33,3 г","35,9 г","44,7 г"
Крылья Острые (3) [Ростик'c - KFC],254 кКал,"12,5 г","13,4 г","16,8 г"
Крылья Острые [Ростик'c - KFC],304 кКал,"9,8 г","19,6 г","20,8 г"
Кукуруза [Ростик'c - KFC],104 кКал,"14,9 г","1,8 г","4,2 г"
Куриная Ножка с Соусом Терияки [Ростик'c - KFC],230 кКал,14 г,"16,9 г",12 г
Куриные Крылышки [Ростик'c - KFC],304 кКал,"9,8 г","19,6 г","20,8 г"
КУРИНЫЕ КРЫЛЫШКИ 3 шт/27г (порция 81 гр) [Ростик'c - KFC],"254,3 кКал","12,5 г","13,4 г","16,8 г"
КУРИНЫЕ КРЫЛЫШКИ 5 шт/27г (порция 135 гр) [Ростик'c - KFC],"423,9 кКал","20,8 г","22,4 г","27,9 г"
КУРИНЫЕ КРЫЛЫШКИ 8 шт/27г (порция 216 гр) [Ростик'c - KFC],"678,2 кКал","33,3 г","35,9 г","44,7 г"
Куриные Ножки [Ростик'c - KFC],211 кКал,"7,2 г","18,7 г","11,9 г"
Куриный Хот-Дог [Ростик'c - KFC],226 кКал,"24,3 г","9,6 г","10,1 г"
КУРИНЫЙ ШАШЛЫК (порция 130 гр) [Ростик'c - KFC],182 кКал,"0,3 г","32,4 г","5,7 г"
Куриный Шашлык [Ростик'c - KFC],182 кКал,"0,3 г","32,4 г","5,7 г"
Латте [Ростик'c - KFC],45 кКал,"6,4 г","2,1 г","1,2 г"
"Латте 0,4 [Ростик'c - KFC]",47 кКал,"6,9 г","2,2 г","1,3 г"
Летняя Пита [Ростик'c - KFC],235 кКал,"20,7 г","10,6 г","12,2 г"
Лимонад Барбарис [Ростик'c - KFC],50 кКал,"12,6 г",0 г,0 г
Лимонад Ванильный Дюшес [Ростик'c - KFC],182 кКал,"45,5 г",0 г,0 г
"ЛОВЕНБРАУ ОРИГИНАЛЬНОЕ 0,3л (порция 300 гр) [Ростик'c - KFC]",138 кКал,"14,1 г",0 г,0 г
"ЛОВЕНБРАУ ОРИГИНАЛЬНОЕ 0,5л (порция 500 гр) [Ростик'c - KFC]",230 кКал,"23,5 г",0 г,0 г
Лонгер [Ростик'c - KFC],233 кКал,"30,8 г","9,8 г","7,9 г"
Лонгер BBQ [Ростик'c - KFC],236 кКал,"33,3 г","9,7 г","7,1 г"
ЛОНГЕР оригинальный (порция 117 гр) [Ростик'c - KFC],296 кКал,"31,9 г","12,9 г",13 г
Лонгер Оригинальный [Ростик'c - KFC],296 кКал,"31,9 г","12,9 г",13 г
ЛОНГЕР острый (порция 113 гр) [Ростик'c - KFC],"248,6 кКал","35,3 г","12,3 г","6,4 г"
